Symbol,Date,Open,High,Low,Close,Percent Change,Volume
GBBD85,24/01/2024,950.6,985,950.6,985,1.55%,"99,671.00"
GBBL,24/01/2024,373.9,395,373.9,383,0.39%,"22,914.00"
GBD80/81,24/01/2024,991.1,992,991.1,992,-0.80%,40
GBILD86/87,24/01/2024,820,820,820,820,-1.80%,25
GBIME,24/01/2024,199,201.9,197.5,201.7,1.87%,"118,722.00"
GBLBS,24/01/2024,562,573,536,559,-0.36%,"5,410.00"
GCIL,24/01/2024,518,528,508,514,-0.77%,"48,318.00"
GFCL,24/01/2024,438,452,438,440,-0.97%,"17,766.00"
GHL,24/01/2024,183.4,195,183.4,184,-1.60%,"33,243.00"
GIBF1,24/01/2024,8.11,8.65,8.11,8.2,-0.12%,"6,220.00"
GILB,24/01/2024,857.5,936.3,857.5,858,-1.94%,"4,083.00"
GLBSL,24/01/2024,872.1,923,872,907,6.08%,"7,259.00"
GLH,24/01/2024,242,249,241.1,246.5,1.15%,"18,358.00"
GMFBS,24/01/2024,903.6,905,885.6,905,-1.84%,"1,353.00"
GMFIL,24/01/2024,368,368,353.4,353.4,-2.08%,"4,942.00"
GRDBL,24/01/2024,344.7,355,328,329.1,-2.63%,"9,237.00"
GUFL,24/01/2024,554,571.1,554,558.9,-0.20%,"20,287.00"
GVL,24/01/2024,451,464,446,450,-1.96%,"16,920.00"
GWFD83,24/01/2024,1080,1080,1071,1071,0.09%,696
H8020,24/01/2024,8.6,9.04,8.6,8.9,2.30%,"6,500.00"
HATHY,24/01/2024,960,975,903,913,-3.69%,"72,026.00"
HBL,24/01/2024,206,209,204,205,-0.24%,"23,644.00"
HDHPC,24/01/2024,158,160.9,152.2,153,-1.99%,"366,210.00"
HDL,24/01/2024,1711,1711,1677,1680,0.00%,"16,122.00"
HEI,24/01/2024,660,666,655,657,-0.45%,"27,440.00"
HEIP,24/01/2024,406,406,395.9,402,-0.72%,73
HHL,24/01/2024,325,340,325,328,2.82%,"48,376.00"
HIDCL,24/01/2024,204,204,196,196,-2.05%,"295,762.00"
HIDCLP,24/01/2024,101.9,106,101,102,-1.83%,"78,967.00"
HLBSL,24/01/2024,621.4,677,621.4,633,-0.16%,"6,993.00"
HLI,24/01/2024,412,417,410,411,0.00%,"53,647.00"
HOTELS,24/01/2024,5744.17,5785.09,5635.68,5657.78,-0.12%,"191,840,846.10"
HPPL,24/01/2024,293,300,279,279,-3.13%,"25,161.00"
HRL,24/01/2024,660,674,655,657,-0.44%,"379,833.00"
HURJA,24/01/2024,295,298,280.3,284,-2.07%,"31,533.00"
HYDROPOWER,24/01/2024,2629.33,2653.61,2579.55,2590.6,-1.27%,"1,473,304,571.70"
ICFC,24/01/2024,487,495,481.1,482,0.00%,"17,251.00"
ICFCD83,24/01/2024,1080,1080,1080,1080,0.00%,90
IGI,24/01/2024,570,580,563,572.5,-1.29%,"172,211.00"
IHL,24/01/2024,307,316.2,305,306,0.33%,"17,594.00"
ILBS,24/01/2024,730.4,759,720.2,750,0.63%,"4,967.00"
ILI,24/01/2024,546,555,541.3,542,-0.55%,"31,488.00"
INVESTMENT,24/01/2024,81.15,81.71,79.29,79.49,-1.65%,"355,984,623.50"
JALPA,24/01/2024,1165,1212,1165,1176,-0.34%,"1,273.00"
JBBD87,24/01/2024,825,825,825,825,-0.06%,25
JBBL,24/01/2024,301,306,296,297.6,-1.46%,"46,990.00"
JBLB,24/01/2024,1369,1390,1341,1350,0.15%,"2,010.00"
JFL,24/01/2024,370.9,370.9,358,358,-1.92%,"8,713.00"
JOSHI,24/01/2024,269.9,275.2,261,263,-0.75%,"48,568.00"
JSLBB,24/01/2024,875,875,854,870,0.12%,825
KBL,24/01/2024,153,157,152.9,153.3,-1.73%,"120,122.00"
KBLD89,24/01/2024,1020,1020,1020,1020,0.00%,100
KBLPO,24/01/2024,106,106,106,106,-1.85%,"114,757.00"
KBSH,24/01/2024,868,885.8,839.3,850,-0.25%,"1,589.00"
KDBY,24/01/2024,8.8,9.1,8.51,8.74,1.04%,"20,000.00"
KDL,24/01/2024,877,892,846,868.8,1.02%,"21,788.00"
KEF,24/01/2024,8.07,8.25,8.07,8.17,-0.73%,"14,650.00"
KKHC,24/01/2024,243.7,247.5,230,234,-2.09%,"20,421.00"
KLBSL,24/01/2024,826,842.5,804.1,842.5,4.00%,"1,142.00"
KMCDB,24/01/2024,641.1,687.4,641.1,665,2.47%,"3,137.00"
KPCL,24/01/2024,410,425.9,406.1,418,0.00%,"6,873.00"
KRBL,24/01/2024,368.2,368.2,355,364.4,0.94%,"15,941.00"
KSBBL,24/01/2024,351,351,331,331,-3.83%,"57,415.00"
LBBL,24/01/2024,410.5,410.5,397.1,402,-0.50%,"58,907.00"
LEC,24/01/2024,216.2,225.8,209.8,210,-3.67%,"182,333.00"
